screen	control	label	type	risk	action	observed	status	evidence
accessibility	ACC-01	文字比例	seekbar	reversible	change and restore	160% observed then restored to 100%	passed	deep/accessibility-restored2.xml
accessibility	ACC-02	最小字型大小	seekbar	reversible	change and restore	14pt observed then restored to 1pt	passed	deep/accessibility-restored2.xml
advanced	ADV-01	設定搜尋引擎	list	reversible	select Bing then Google	Bing summary observed and Google restored	passed	deep/advanced-search-bing.xml
advanced	ADV-02	啟用 JavaScript	checkbox	reversible	toggle twice	state restored	passed	deep/advanced-logcat.txt
advanced	ADV-03	網站設定	text_row	external_dependency	inspect runtime state	disabled because no per-site grants exist	not_applicable	deep/settings-map/advanced.xml
advanced	ADV-04	以總覽模式開啟網頁	checkbox	reversible	toggle twice	state restored	passed	deep/advanced-logcat.txt
advanced	ADV-05	文字編碼	list	reversible	select UTF-8 then Latin-1	UTF-8 observed and Latin-1 restored	passed	deep/advanced-encoding-utf8.xml
advanced	ADV-06	還原至初始設定	confirm_action	destructive_needs_backup	cancel then confirm	reset completed and returned Home; backup restored	passed	deep/advanced-reset-confirmed.xml
bandwidth	BW-01	預先載入搜尋結果	list	reversible	select ALWAYS then WIFI_ONLY	preference changed and restored	passed	deep/bandwidth-restored-prefs.xml
bandwidth	BW-02	載入圖片	checkbox	reversible	toggle twice	true restored	passed	deep/bandwidth-restored-prefs.xml
about	ABOUT-01	開放原始碼授權	text_row	safe	tap	NOTICE dialog opened	passed	deep/about-license.png
license	LICENSE-01	垂直捲動	gesture	safe	swipe	license text scrolls vertically	passed	deep/about-license.png
license	LICENSE-02	水平捲動	gesture	safe	swipe	preformatted license text pans horizontally	passed	deep/about-license-horizontal-scroll.png
